 time            v(c1_node)      v(c2_node)      v(c1_wl)        v(c1_bl)        v(c2_wl)        v(c2_bl)       
 7.73343400e-06  1.19900689e+00  7.68052069e-05  2.00000000e+00  1.20000000e+00  2.00000000e+00  0.00000000e+00 
 7.74343400e-06  1.19900566e+00  7.68634180e-05  2.00000000e+00  1.20000000e+00  2.00000000e+00  0.00000000e+00 
 7.76343400e-06  1.19900572e+00  7.68513507e-05  2.00000000e+00  1.20000000e+00  2.00000000e+00  0.00000000e+00 
 7.80343400e-06  1.19900569e+00  7.68616423e-05  2.00000000e+00  1.20000000e+00  2.00000000e+00  0.00000000e+00 
 7.85343400e-06  1.19900571e+00  7.68519544e-05  2.00000000e+00  1.20000000e+00  2.00000000e+00  0.00000000e+00 
 7.90343400e-06  1.19900570e+00  7.68612282e-05  2.00000000e+00  1.20000000e+00  2.00000000e+00  0.00000000e+00 
 7.95343400e-06  1.19900570e+00  7.68522962e-05  2.00000000e+00  1.20000000e+00  2.00000000e+00  0.00000000e+00 
 8.00343400e-06  1.19900570e+00  7.68609374e-05  2.00000000e+00  1.20000000e+00  2.00000000e+00  0.00000000e+00 
 8.05343400e-06  1.19900570e+00  7.68525506e-05  2.00000000e+00  1.20000000e+00  2.00000000e+00  0.00000000e+00 
 8.07843400e-06  1.19900570e+00  7.68606079e-05  2.00000000e+00  1.20000000e+00  2.00000000e+00  0.00000000e+00 
 8.07853400e-06  1.19892771e+00  4.92414338e-05  1.80000000e+00  1.08000000e+00  2.00000000e+00  0.00000000e+00 
 8.07873400e-06  1.19883035e+00  2.69654343e-05  1.40000000e+00  8.40000000e-01  2.00000000e+00  0.00000000e+00 
 8.07913400e-06  1.19874882e+00  3.94260646e-05  6.00000000e-01  3.60000000e-01  2.00000000e+00  0.00000000e+00 
 8.07943400e-06  1.19868422e+00  4.11581170e-05  0.00000000e+00  0.00000000e+00  2.00000000e+00  0.00000000e+00 
 8.07951400e-06  1.19866685e+00  4.13244322e-05  4.28424234e-05  0.00000000e+00  2.00000000e+00  0.00000000e+00 
 8.07967400e-06  1.19863210e+00  4.15828169e-05  1.28527270e-04  0.00000000e+00  2.00000000e+00  0.00000000e+00 
 8.07999400e-06  1.19856246e+00  4.18162042e-05  2.99896964e-04  0.00000000e+00  2.00000000e+00  0.00000000e+00 
 8.08063400e-06  1.19842303e+00  4.19054842e-05  6.42636351e-04  0.00000000e+00  2.00000000e+00  0.00000000e+00 
 8.08191400e-06  1.19814412e+00  4.18874864e-05  1.32811513e-03  0.00000000e+00  2.00000000e+00  0.00000000e+00 
 8.08447400e-06  1.19758650e+00  4.18718003e-05  2.69907268e-03  0.00000000e+00  2.00000000e+00  0.00000000e+00 
 8.08959400e-06  1.19647205e+00  4.18301520e-05  5.44098777e-03  0.00000000e+00  2.00000000e+00  0.00000000e+00 
 8.09983400e-06  1.19424625e+00  4.17545986e-05  1.09248180e-02  0.00000000e+00  2.00000000e+00  0.00000000e+00 
 8.12031400e-06  1.18980707e+00  4.15973062e-05  2.18924784e-02  0.00000000e+00  2.00000000e+00  0.00000000e+00 
 8.16127400e-06  1.18097811e+00  4.12906225e-05  4.38277992e-02  0.00000000e+00  2.00000000e+00  0.00000000e+00 
 8.21127400e-06  1.17028930e+00  4.09149593e-05  7.06043138e-02  0.00000000e+00  2.00000000e+00  0.00000000e+00 
 8.22843400e-06  1.16664327e+00  4.07893533e-05  7.97940136e-02  0.00000000e+00  2.00000000e+00  0.00000000e+00 
